ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;rounded_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;rounded_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;rounded_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D;rounded_D;;frequency_all;total_all;percenage_site_all;sites_all;percentage_all_all;percentage_all_all_rounded
76;Berytus;Eastern Mediterranean;Gallia;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
77;Berytus;Eastern Mediterranean;Adria;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;45;0;22;0;0;;0;45;0;35;0;0
78;Caesarea;Eastern Mediterranean;Italy;3;12.5;24;25;0.96;1;3;12.4999;24.000192;29;0.827592828;0.8;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;6;28.9997;20.68986921;35;0.59113912;0.6
79;Caesarea;Eastern Mediterranean;Baetica;0;12.5;0;25;0;0;0;12.4999;0;29;0;0;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;0;28.9997;0;35;0;0
80;Caesarea;Eastern Mediterranean;Tarraconensis;0;12.5;0;25;0;0;0;12.4999;0;29;0;0;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;0;28.9997;0;35;0;0
81;Caesarea;Eastern Mediterranean;North Africa;0.5;12.5;4;25;0.16;0.2;0.5;12.4999;4.000032;29;0.137932138;0.1;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;1;28.9997;3.448311534;35;0.098523187;0.1
82;Caesarea;Eastern Mediterranean;Iberian Peninsula;2.5;12.5;20;25;0.8;0.8;2.8333;12.4999;22.66658133;29;0.781606253;0.8;0.5833;1.9999;29.16645832;28;1.041659226;1;0.5833;1.9999;29.16645832;22;1.325748106;1.3;;6.4999;28.9997;22.41368014;35;0.640390861;0.6
83;Caesarea;Eastern Mediterranean;Aegean;3;12.5;24;25;0.96;1;3;12.4999;24.000192;29;0.827592828;0.8;0.5;1.9999;25.00125006;28;0.892901788;0.9;0.5;1.9999;25.00125006;22;1.136420457;1.1;;7;28.9997;24.13818074;35;0.689662307;0.7
84;Caesarea;Eastern Mediterranean;Western Mediterranean;0;12.5;0;25;0;0;0;12.4999;0;29;0;0;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;0;28.9997;0;35;0;0
86;Caesarea;Eastern Mediterranean;unknown;2.5;12.5;20;25;0.8;0.8;2.8333;12.4999;22.66658133;29;0.781606253;0.8;0.5833;1.9999;29.16645832;28;1.041659226;1;0.5833;1.9999;29.16645832;22;1.325748106;1.3;;6.4999;28.9997;22.41368014;35;0.640390861;0.6
87;Caesarea;Eastern Mediterranean;Pontic Sea;0;12.5;0;25;0;0;0;12.4999;0;29;0;0;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;0;28.9997;0;35;0;0
88;Caesarea;Eastern Mediterranean;Egypt;0;12.5;0;25;0;0;0;12.4999;0;29;0;0;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;0;28.9997;0;35;0;0
89;Caesarea;Eastern Mediterranean;Gallia;0;12.5;0;25;0;0;0.3333;12.4999;2.666421331;29;0.091945563;0.1;0.3333;1.9999;16.66583329;28;0.595208332;0.6;0.3333;1.9999;16.66583329;22;0.757537877;0.8;;0.9999;28.9997;3.447966703;35;0.098513334;0.1
90;Caesarea;Eastern Mediterranean;Adria;1;12.5;8;25;0.32;0.3;0;12.4999;0;29;0;0;0;1.9999;0;28;0;0;0;1.9999;0;22;0;0;;1;28.9997;3.448311534;35;0.098523187;0.1
91;Paphos;Eastern Mediterranean;Italy;0;3.9999;0;25;0;0;11.25;14.8333;75.84286706;29;2.615271278;2.6;1.25;3.3332;37.50150006;28;1.339339288;1.3;0.25;10.5;2.380952381;22;0.108225108;0.1;;12.75;32.6664;39.03093086;35;1.115169453;1.1
92;Paphos;Eastern Mediterranean;Baetica;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
93;Paphos;Eastern Mediterranean;Tarraconensis;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
94;Paphos;Eastern Mediterranean;North Africa;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
95;Paphos;Eastern Mediterranean;Iberian Peninsula;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
96;Paphos;Eastern Mediterranean;Aegean;2.6666;3.9999;66.66666667;25;2.666666667;2.7;2;14.8333;13.48317637;29;0.464937116;0.5;1.1666;3.3332;34.99939998;28;1.249978571;1.2;3;10.5;28.57142857;22;1.298701299;1.3;;8.8332;32.6664;27.0406289;35;0.772589397;0.8
97;Paphos;Eastern Mediterranean;Western Mediterranean;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
99;Paphos;Eastern Mediterranean;unknown;1.3333;3.9999;33.33333333;25;1.333333333;1.3;1.5833;14.8333;10.67395657;29;0.368067468;0.4;0.5833;3.3332;17.49969999;28;0.624989285;0.6;7.25;10.5;69.04761905;22;3.138528139;3.1;;10.7499;32.6664;32.90812578;35;0.940232165;0.9
100;Paphos;Eastern Mediterranean;Pontic Sea;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
101;Paphos;Eastern Mediterranean;Egypt;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
102;Paphos;Eastern Mediterranean;Gallia;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0;3.3332;0;28;0;0;0;10.5;0;22;0;0;;0;32.6664;0;35;0;0
103;Paphos;Eastern Mediterranean;Adria;0;3.9999;0;25;0;0;0;14.8333;0;29;0;0;0.3333;3.3332;9.999399976;28;0.357121428;0.4;0;10.5;0;22;0;0;;0.3333;32.6664;1.020314452;35;0.029151841;0
104;Pula;Adria;Italy;1286;1286;100;25;4;4;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;1286;1286;100;35;2.857142857;2.9
105;Pula;Adria;Baetica;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
106;Pula;Adria;Tarraconensis;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
107;Pula;Adria;North Africa;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
108;Pula;Adria;Iberian Peninsula;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
109;Pula;Adria;Aegean;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
110;Pula;Adria;Western Mediterranean;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
111;Pula;Adria;Eastern Mediterranean;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
112;Pula;Adria;unknown;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
113;Pula;Adria;Pontic Sea;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
114;Pula;Adria;Egypt;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
115;Pula;Adria;Gallia;0;1286;0;25;0;0;0;0;0;29;0;0;0;0;0;28;0;0;0;0;0;22;0;0;;0;1286;0;35;0;0
117;Corinth;Aegean;Italy;0;0.25;0;25;0;0;0;0.75;0;29;0;0;1;3;33.33333333;28;1.19047619;1.2;0;3;0;22;0;0;;1;7;14.28571429;35;0.408163265;0.4
118;Corinth;Aegean;Baetica;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
119;Corinth;Aegean;Tarraconensis;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
120;Corinth;Aegean;North Africa;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0.5;3;16.66666667;28;0.595238095;0.6;0.5;3;16.66666667;22;0.757575758;0.8;;1;7;14.28571429;35;0.408163265;0.4
121;Corinth;Aegean;Iberian Peninsula;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
123;Corinth;Aegean;Western Mediterranean;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
124;Corinth;Aegean;Eastern Mediterranean;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
125;Corinth;Aegean;unknown;0.25;0.25;100;25;4;4;0.75;0.75;100;29;3.448275862;3.4;1.5;3;50;28;1.785714286;1.8;2.5;3;83.33333333;22;3.787878788;3.8;;5;7;71.42857143;35;2.040816327;2
126;Corinth;Aegean;Pontic Sea;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
127;Corinth;Aegean;Egypt;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
128;Corinth;Aegean;Gallia;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
129;Corinth;Aegean;Adria;0;0.25;0;25;0;0;0;0.75;0;29;0;0;0;3;0;28;0;0;0;3;0;22;0;0;;0;7;0;35;0;0
130;Arles;Gallia;Italy;79.5;81.5;97.54601227;25;3.901840491;3.9;0;60.5;0;29;0;0;0;60.5;0;28;0;0;0.5;4.5;11.11111111;22;0.505050505;0.5;;80;207;38.647343;35;1.1042098;1.1
