ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
358;Settefinestre;Italy;Eastern Mediterranean;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;0;145.9999;0;22;0
359;Settefinestre;Italy;unknown;61.3333;75.3331;81.41613713;25;3.256645485;22.3333;26.3331;84.81075149;29;2.924508672;22.3333;26.3331;84.81075149;28;3.02895541;105;145.9999;71.91785748;22;3.268993522
360;Settefinestre;Italy;Pontic Sea;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;0;145.9999;0;22;0
361;Settefinestre;Italy;Egypt;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;0;145.9999;0;22;0
362;Settefinestre;Italy;Gallia;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;1;145.9999;0.684931976;22;0.031133272
363;Settefinestre;Italy;Adria;0;75.3331;0;25;0;0;26.3331;0;29;0;0;26.3331;0;28;0;0;145.9999;0;22;0
364;Berenike;North Africa;Italy;9;21.5;41.86046512;25;1.674418605;17;25.5;66.66666667;29;2.298850575;23;82;28.04878049;28;1.00174216;1;44;2.272727273;22;0.103305785
365;Berenike;North Africa;Baetica;0;21.5;0;25;0;0;25.5;0;29;0;0;82;0;28;0;0;44;0;22;0
366;Berenike;North Africa;Tarraconensis;0;21.5;0;25;0;0;25.5;0;29;0;0;82;0;28;0;0;44;0;22;0
368;Berenike;North Africa;Iberian Peninsula;0;21.5;0;25;0;1;25.5;3.921568627;29;0.135226504;10;82;12.19512195;28;0.43554007;11;44;25;22;1.136363636
369;Berenike;North Africa;Aegean;12;21.5;55.81395349;25;2.23255814;3;25.5;11.76470588;29;0.405679513;3;82;3.658536585;28;0.130662021;26;44;59.09090909;22;2.685950413
370;Berenike;North Africa;Western Mediterranean;0.5;21.5;2.325581395;25;0.093023256;4.5;25.5;17.64705882;29;0.60851927;43;82;52.43902439;28;1.8728223;2;44;4.545454545;22;0.20661157
371;Berenike;North Africa;Eastern Mediterranean;0;21.5;0;25;0;0;25.5;0;29;0;3;82;3.658536585;28;0.130662021;4;44;9.090909091;22;0.41322314
372;Berenike;North Africa;unknown;0;21.5;0;25;0;0;25.5;0;29;0;0;82;0;28;0;0;44;0;22;0
373;Berenike;North Africa;Pontic Sea;0;21.5;0;25;0;0;25.5;0;29;0;0;82;0;28;0;0;44;0;22;0
374;Berenike;North Africa;Egypt;0;21.5;0;25;0;0;25.5;0;29;0;0;82;0;28;0;0;44;0;22;0
375;Berenike;North Africa;Gallia;0;21.5;0;25;0;0;25.5;0;29;0;0;82;0;28;0;0;44;0;22;0
376;Berenike;North Africa;Adria;0;21.5;0;25;0;0;25.5;0;29;0;0;82;0;28;0;0;44;0;22;0
377;Carthage;North Africa;Italy;30704.5;40937;75.00427486;25;3.000170994;1037;6811;15.22537072;29;0.525012784;241.75;7325.75;3.300003413;28;0.117857265;201.25;5675;3.546255507;22;0.161193432
378;Carthage;North Africa;Baetica;0;40937;0;25;0;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
379;Carthage;North Africa;Tarraconensis;0;40937;0;25;0;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
381;Carthage;North Africa;Iberian Peninsula;725;40937;1.771013997;25;0.07084056;225;6811;3.303479665;29;0.113913092;100;7325.75;1.365047947;28;0.048751712;0;5675;0;22;0
382;Carthage;North Africa;Aegean;200;40937;0.488555585;25;0.019542223;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
383;Carthage;North Africa;Western Mediterranean;0;40937;0;25;0;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
384;Carthage;North Africa;Eastern Mediterranean;0;40937;0;25;0;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
385;Carthage;North Africa;unknown;8882.5;40937;21.69797494;25;0.867918997;5524;6811;81.10409631;29;2.796692976;6984;7325.75;95.33494864;28;3.404819594;5473.75;5675;96.45374449;22;4.384261113
386;Carthage;North Africa;Pontic Sea;0;40937;0;25;0;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
387;Carthage;North Africa;Egypt;0;40937;0;25;0;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
388;Carthage;North Africa;Gallia;425;40937;1.038180619;25;0.041527225;25;6811;0.367053296;29;0.01265701;0;7325.75;0;28;0;0;5675;0;22;0
389;Carthage;North Africa;Adria;0;40937;0;25;0;0;6811;0;29;0;0;7325.75;0;28;0;0;5675;0;22;0
390;Leptis Magna;North Africa;Italy;0;0;0;25;0;2.5;5.5;45.45454545;29;1.567398119;2.5;5.5;45.45454545;28;1.623376623;0;0;0;22;0
391;Leptis Magna;North Africa;Baetica;0;0;0;25;0;0;5.5;0;29;0;0;5.5;0;28;0;0;0;0;22;0
392;Leptis Magna;North Africa;Tarraconensis;0;0;0;25;0;0;5.5;0;29;0;0;5.5;0;28;0;0;0;0;22;0
394;Leptis Magna;North Africa;Iberian Peninsula;0;0;0;25;0;1;5.5;18.18181818;29;0.626959248;1;5.5;18.18181818;28;0.649350649;0;0;0;22;0
395;Leptis Magna;North Africa;Aegean;0;0;0;25;0;0.5;5.5;9.090909091;29;0.313479624;0.5;5.5;9.090909091;28;0.324675325;0;0;0;22;0
396;Leptis Magna;North Africa;Western Mediterranean;0;0;0;25;0;0;5.5;0;29;0;0;5.5;0;28;0;0;0;0;22;0
397;Leptis Magna;North Africa;Eastern Mediterranean;0;0;0;25;0;0.5;5.5;9.090909091;29;0.313479624;0.5;5.5;9.090909091;28;0.324675325;0;0;0;22;0
398;Leptis Magna;North Africa;unknown;0;0;0;25;0;1;5.5;18.18181818;29;0.626959248;1;5.5;18.18181818;28;0.649350649;0;0;0;22;0
399;Leptis Magna;North Africa;Pontic Sea;0;0;0;25;0;0;5.5;0;29;0;0;5.5;0;28;0;0;0;0;22;0
400;Leptis Magna;North Africa;Egypt;0;0;0;25;0;0;5.5;0;29;0;0;5.5;0;28;0;0;0;0;22;0
401;Leptis Magna;North Africa;Gallia;0;0;0;25;0;0;5.5;0;29;0;0;5.5;0;28;0;0;0;0;22;0
402;Leptis Magna;North Africa;Adria;0;0;0;25;0;0;5.5;0;29;0;0;5.5;0;28;0;0;0;0;22;0
403;Sabratha;North Africa;Italy;12.196;12.946;94.20670477;25;3.768268191;7.146;7.996;89.36968484;29;3.08171327;7.176;8.026;89.40941939;28;3.19319355;9.256;10.106;91.58915496;22;4.163143407
404;Sabratha;North Africa;Baetica;0;12.946;0;25;0;0;7.996;0;29;0;0;8.026;0;28;0;0;10.106;0;22;0
