ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
355;Settefinestre;Italy;Iberian Peninsula;0.6666;119.9997;0.555501389;26;0.021365438;0.6666;32.9997;2.020018364;29;0.069655806;0.6666;32.9997;2.020018364;29;0.069655806;33.9999;223.9999;15.17853356;22;0.689933344
356;Settefinestre;Italy;Aegean;1.6666;119.9997;1.388836805;26;0.0534168;0.6666;32.9997;2.020018364;29;0.069655806;0.6666;32.9997;2.020018364;29;0.069655806;2;223.9999;0.892857541;22;0.040584434
357;Settefinestre;Italy;Western Mediterranean;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;0;223.9999;0;22;0
358;Settefinestre;Italy;Eastern Mediterranean;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;0;223.9999;0;22;0
359;Settefinestre;Italy;unknown;61.3333;119.9997;51.11121111;26;1.965815812;22.3333;32.9997;67.67728191;29;2.333699376;22.3333;32.9997;67.67728191;29;2.333699376;105;223.9999;46.87502093;22;2.130682769
360;Settefinestre;Italy;Pontic Sea;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;0;223.9999;0;22;0
361;Settefinestre;Italy;Egypt;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;0;223.9999;0;22;0
362;Settefinestre;Italy;Gallia;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;1;223.9999;0.446428771;22;0.020292217
363;Settefinestre;Italy;Adria;0;119.9997;0;26;0;0;32.9997;0;29;0;0;32.9997;0;29;0;0;223.9999;0;22;0
364;Berenike;North Africa;Italy;9;31;29.03225806;26;1.11662531;17;42;40.47619048;29;1.395730706;23;124;18.5483871;29;0.639599555;1;114;0.877192982;22;0.039872408
365;Berenike;North Africa;Baetica;0;31;0;26;0;0;42;0;29;0;0;124;0;29;0;0;114;0;22;0
366;Berenike;North Africa;Tarraconensis;0;31;0;26;0;0;42;0;29;0;0;124;0;29;0;0;114;0;22;0
367;Berenike;North Africa;North Africa;9.5;31;30.64516129;26;1.17866005;16.5;42;39.28571429;29;1.354679803;42;124;33.87096774;29;1.167964405;70;114;61.40350877;22;2.791068581
368;Berenike;North Africa;Iberian Peninsula;0;31;0;26;0;1;42;2.380952381;29;0.082101806;10;124;8.064516129;29;0.278086763;11;114;9.649122807;22;0.438596491
369;Berenike;North Africa;Aegean;12;31;38.70967742;26;1.488833747;3;42;7.142857143;29;0.246305419;3;124;2.419354839;29;0.083426029;26;114;22.80701754;22;1.036682616
370;Berenike;North Africa;Western Mediterranean;0.5;31;1.612903226;26;0.062034739;4.5;42;10.71428571;29;0.369458128;43;124;34.67741935;29;1.195773081;2;114;1.754385965;22;0.079744817
371;Berenike;North Africa;Eastern Mediterranean;0;31;0;26;0;0;42;0;29;0;3;124;2.419354839;29;0.083426029;4;114;3.50877193;22;0.159489633
372;Berenike;North Africa;unknown;0;31;0;26;0;0;42;0;29;0;0;124;0;29;0;0;114;0;22;0
373;Berenike;North Africa;Pontic Sea;0;31;0;26;0;0;42;0;29;0;0;124;0;29;0;0;114;0;22;0
374;Berenike;North Africa;Egypt;0;31;0;26;0;0;42;0;29;0;0;124;0;29;0;0;114;0;22;0
375;Berenike;North Africa;Gallia;0;31;0;26;0;0;42;0;29;0;0;124;0;29;0;0;114;0;22;0
376;Berenike;North Africa;Adria;0;31;0;26;0;0;42;0;29;0;0;124;0;29;0;0;114;0;22;0
377;Carthage;North Africa;Italy;30704.5;178948;17.1583365;26;0.659936019;1037;14204;7.300760349;29;0.251750357;241.75;18337.25;1.318354715;29;0.045460507;201.25;20544.25;0.97959283;22;0.044526947
378;Carthage;North Africa;Baetica;0;178948;0;26;0;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
379;Carthage;North Africa;Tarraconensis;0;178948;0;26;0;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
380;Carthage;North Africa;North Africa;138011;178948;77.12352192;26;2.966289304;7393;14204;52.04871867;29;1.794783402;11011.5;18337.25;60.04989843;29;2.070686153;14869.25;20544.25;72.37669908;22;3.289849958
381;Carthage;North Africa;Iberian Peninsula;725;178948;0.405145629;26;0.015582524;225;14204;1.584060828;29;0.054622787;100;18337.25;0.545338041;29;0.01880476;0;20544.25;0;22;0
382;Carthage;North Africa;Aegean;200;178948;0.111764311;26;0.004298627;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
383;Carthage;North Africa;Western Mediterranean;0;178948;0;26;0;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
384;Carthage;North Africa;Eastern Mediterranean;0;178948;0;26;0;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
385;Carthage;North Africa;unknown;8882.5;178948;4.963732481;26;0.190912788;5524;14204;38.89045339;29;1.341050117;6984;18337.25;38.08640881;29;1.313324442;5473.75;20544.25;26.64370809;22;1.211077641
386;Carthage;North Africa;Pontic Sea;0;178948;0;26;0;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
387;Carthage;North Africa;Egypt;0;178948;0;26;0;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
388;Carthage;North Africa;Gallia;425;178948;0.237499162;26;0.009134583;25;14204;0.176006759;29;0.006069199;0;18337.25;0;29;0;0;20544.25;0;22;0
389;Carthage;North Africa;Adria;0;178948;0;26;0;0;14204;0;29;0;0;18337.25;0;29;0;0;20544.25;0;22;0
