ID;Site_name;region;origin;frequency_A;total_A;percentage_in_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_all_A;rounded_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;rounded_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_all_C;rounded_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_all_D;rounded_D;;frequency_all;total_all;percentage_all;sites_all;percentage_all_all;percentage_all_all_rounded
79;Knossos;Aegean;Eastern Mediterranean;64.5;97.5;66.15384615;3;22.05128205;26;2.544378698;2.5;314.5;649;48.45916795;6;8.076527992;33;1.468459635;1.5;409.06;1039.58;39.34858308;7;5.621226155;31;1.269309132;1.3;46.693;234.453;19.91571872;5;3.983143743;24;0.829821613;0.8;;834.753;2020.533;41.3135049;40;1.032837623;1
81;Knossos;Aegean;unknown;2;97.5;2.051282051;3;0.683760684;26;0.078895464;0.1;6;649;0.92449923;6;0.154083205;33;0.028015128;0;27.35;1039.58;2.630870159;7;0.375838594;31;0.084866779;0.1;91.1;234.453;38.85640192;5;7.771280385;24;1.619016747;1.6;;126.45;2020.533;6.25824968;40;0.156456242;0.2
88;Kyme;Aegean;Italy;0;0;0;3;0;26;0;0;0;0;0;6;0;33;0;0;1.315;15.78;8.333333333;7;1.19047619;31;0.268817204;0.3;1.315;15.78;8.333333333;5;1.666666667;24;0.347222222;0.3;;2.63;31.56;8.333333333;40;0.208333333;0.2
90;Kyme;Aegean;Eastern Mediterranean;0;0;0;3;0;26;0;0;0;0;0;6;0;33;0;0;5.26;15.78;33.33333333;7;4.761904762;31;1.075268817;1.1;5.26;15.78;33.33333333;5;6.666666667;24;1.388888889;1.4;;10.52;31.56;33.33333333;40;0.833333333;0.8
92;Kyme;Aegean;unknown;0;0;0;3;0;26;0;0;0;0;0;6;0;33;0;0;9.205;15.78;58.33333333;7;8.333333333;31;1.88172043;1.9;9.205;15.78;58.33333333;5;11.66666667;24;2.430555556;2.4;;18.41;31.56;58.33333333;40;1.458333333;1.5
99;Sparta;Aegean;Italy;0;0;0;3;0;26;0;0;0.5;0.5;100;6;16.66666667;33;3.03030303;3;0.5;0.5;100;7;14.28571429;31;3.225806452;3.2;0;0;0;5;0;24;0;0;;1;1;100;40;2.5;2.5
110;Baelo Claudia;Baetica;Italy;32.1875;47.375;67.94195251;2;33.97097625;26;2.613152019;2.6;77.43;233.43;33.17054363;1;33.17054363;33;1.005167989;1;18.4375;155.2315;11.87742179;1;11.87742179;31;0.383142638;0.4;0.4375;10.2315;4.27601036;0;0;24;0.178167098;0.2;;128.4925;446.268;28.79267615;40;0.719816904;0.7
111;Baelo Claudia;Baetica;Gallia;0;47.375;0;2;0;26;0;0;24.5;233.43;10.4956518;1;10.4956518;33;0.318050055;0.3;17.8932;155.2315;11.52678419;1;11.52678419;31;0.371831748;0.4;6.1432;10.2315;60.04202707;0;0;24;2.501751128;2.5;;48.5364;446.268;10.8760655;40;0.271901638;0.3
114;Baelo Claudia;Baetica;unknown;13;47.375;27.44063325;2;13.72031662;26;1.055408971;1.1;18;233.43;7.711091119;1;7.711091119;33;0.233669428;0.2;0.33;155.2315;0.212585719;1;0.212585719;31;0.006857604;0;0.58;10.2315;5.66876802;0;0;24;0.236198668;0.2;;31.91;446.268;7.15041186;40;0.178760297;0.2
120;Baelo Claudia;Baetica;Iberian Peninsula;0.6875;47.375;1.451187335;2;0.725593668;26;0.055814898;0.1;109;233.43;46.69494067;1;46.69494067;33;1.414998202;1.4;113.5375;155.2315;73.14076073;1;73.14076073;31;2.359379379;2.4;0.7875;10.2315;7.696818648;0;0;24;0.320700777;0.3;;224.0125;446.268;50.1968548;40;1.25492137;1.3
125;Akko;Eastern Mediterranean;unknown;13;15.5;83.87096774;5;16.77419355;26;3.225806452;3.2;3;4;75;5;15;33;2.272727273;2.3;0;0;0;3;0;31;0;0;0;0;0;4;0;24;0;0;;16;19.5;82.05128205;40;2.051282051;2.1
126;Akko;Eastern Mediterranean;Aegean;2;15.5;12.90322581;5;2.580645161;26;0.496277916;0.5;1;4;25;5;5;33;0.757575758;0.8;0;0;0;3;0;31;0;0;0;0;0;4;0;24;0;0;;3;19.5;15.38461538;40;0.384615385;0.4
130;Akko;Eastern Mediterranean;Egypt;0.5;15.5;3.225806452;5;0.64516129;26;0.124069479;0.1;0;4;0;5;0;33;0;0;0;0;0;3;0;31;0;0;0;0;0;4;0;24;0;0;;0.5;19.5;2.564102564;40;0.064102564;0.1
132;Jerusalem;Eastern Mediterranean;Italy;0;5.2;0;5;0;26;0;0;5;10.2;49.01960784;5;9.803921569;33;1.485442662;1.5;5;5;100;3;33.33333333;31;3.225806452;3.2;0;0;0;4;0;24;0;0;;10;20.4;49.01960784;40;1.225490196;1.2
136;Jerusalem;Eastern Mediterranean;unknown;5.2;5.2;100;5;20;26;3.846153846;3.8;5.2;10.2;50.98039216;5;10.19607843;33;1.544860368;1.5;0;5;0;3;0;31;0;0;0;0;0;4;0;24;0;0;;10.4;20.4;50.98039216;40;1.274509804;1.3
143;Panayia Ematousa;Eastern Mediterranean;Italy;4.5;4.5;100;5;20;26;3.846153846;3.8;4.5;4.5;100;5;20;33;3.03030303;3;0;0;0;3;0;31;0;0;0;36;0;4;0;24;0;0;;9;45;20;40;0.5;0.5
147;Panayia Ematousa;Eastern Mediterranean;unknown;0;4.5;0;5;0;26;0;0;0;4.5;0;5;0;33;0;0;0;0;0;3;0;31;0;0;36;36;100;4;25;24;4.166666667;4.2;;36;45;80;40;2;2
154;Paphos;Eastern Mediterranean;Italy;15.5;35.75;43.35664336;5;8.671328671;26;1.667563206;1.7;9.5;22.75;41.75824176;5;8.351648352;33;1.265401265;1.3;14;48.25;29.01554404;3;9.671848014;31;0.935985292;0.9;24;47;51.06382979;4;12.76595745;24;2.127659574;2.1;;63;153.75;40.97560976;40;1.024390244;1
158;Paphos;Eastern Mediterranean;unknown;15.25;35.75;42.65734266;5;8.531468531;26;1.640667025;1.6;8.25;22.75;36.26373626;5;7.252747253;33;1.098901099;1.1;7.75;48.25;16.06217617;3;5.354058722;31;0.518134715;0.5;10.5;47;22.34042553;4;5.585106383;24;0.930851064;0.9;;41.75;153.75;27.15447154;40;0.678861789;0.7
