ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_in_all_D;
126;Corinth;Aegean;Pontic Sea;0;0.25;0;3;0;26;0;0;0.75;0;3;0;29;0;0;4;0;3;0;29;0;0;5;0;3;0;22;0;
127;Corinth;Aegean;Egypt;0;0.25;0;3;0;26;0;0;0.75;0;3;0;29;0;0;4;0;3;0;29;0;0;5;0;3;0;22;0;
128;Corinth;Aegean;Gallia;0;0.25;0;3;0;26;0;0;0.75;0;3;0;29;0;0;4;0;3;0;29;0;0;5;0;3;0;22;0;
129;Corinth;Aegean;Adria;0;0.25;0;3;0;26;0;0;0.75;0;3;0;29;0;0;4;0;3;0;29;0;0;5;0;3;0;22;0;
247;Sparta;Aegean;Italy;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
248;Sparta;Aegean;Baetica;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
249;Sparta;Aegean;Tarraconensis;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
250;Sparta;Aegean;North Africa;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
251;Sparta;Aegean;Iberian Peninsula;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
252;Sparta;Aegean;Aegean;1;1;100;3;33.33333333;26;3.846153846;4.5;5.5;81.81818182;3;27.27272727;29;2.821316614;4.5;5.5;81.81818182;3;27.27272727;29;2.821316614;2;3.5;57.14285714;3;19.04761905;22;2.597402597;
253;Sparta;Aegean;Western Mediterranean;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
254;Sparta;Aegean;Eastern Mediterranean;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
255;Sparta;Aegean;unknown;0;1;0;3;0;26;0;1;5.5;18.18181818;3;6.060606061;29;0.626959248;1;5.5;18.18181818;3;6.060606061;29;0.626959248;0;3.5;0;3;0;22;0;
256;Sparta;Aegean;Pontic Sea;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
257;Sparta;Aegean;Egypt;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
258;Sparta;Aegean;Gallia;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;0;3.5;0;3;0;22;0;
259;Sparta;Aegean;Adria;0;1;0;3;0;26;0;0;5.5;0;3;0;29;0;0;5.5;0;3;0;29;0;1.5;3.5;42.85714286;3;14.28571429;22;1.948051948;
39;Baelo Claudia;Baetica;Italy;16;65;24.61538462;2;12.30769231;26;0.946745562;15;42.5;35.29411765;1;35.29411765;29;1.21703854;1;6;16.66666667;1;16.66666667;29;0.574712644;0.2;1.5;13.33333333;1;13.33333333;22;0.606060606;
40;Baelo Claudia;Baetica;Baetica;13.5;65;20.76923077;2;10.38461538;26;0.798816568;7;42.5;16.47058824;1;16.47058824;29;0.567951318;3;6;50;1;50;29;1.724137931;0.8;1.5;53.33333333;1;53.33333333;22;2.424242424;
41;Baelo Claudia;Baetica;Tarraconensis;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
42;Baelo Claudia;Baetica;North Africa;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
43;Baelo Claudia;Baetica;Iberian Peninsula;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
44;Baelo Claudia;Baetica;Aegean;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
45;Baelo Claudia;Baetica;Western Mediterranean;24.5;65;37.69230769;2;18.84615385;26;1.449704142;13.5;42.5;31.76470588;1;31.76470588;29;1.095334686;2;6;33.33333333;1;33.33333333;29;1.149425287;0;1.5;0;1;0;22;0;
46;Baelo Claudia;Baetica;Eastern Mediterranean;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
47;Baelo Claudia;Baetica;unknown;11;65;16.92307692;2;8.461538462;26;0.650887574;7;42.5;16.47058824;1;16.47058824;29;0.567951318;0;6;0;1;0;29;0;0.5;1.5;33.33333333;1;33.33333333;22;1.515151515;
48;Baelo Claudia;Baetica;Pontic Sea;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
49;Baelo Claudia;Baetica;Egypt;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
50;Baelo Claudia;Baetica;Gallia;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
51;Baelo Claudia;Baetica;Adria;0;65;0;2;0;26;0;0;42.5;0;1;0;29;0;0;6;0;1;0;29;0;0;1.5;0;1;0;22;0;
52;Valencia;Baetica;Italy;0.5;13.5;3.703703704;2;1.851851852;26;0.142450142;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
53;Valencia;Baetica;Baetica;6;13.5;44.44444444;2;22.22222222;26;1.709401709;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
54;Valencia;Baetica;Tarraconensis;4;13.5;29.62962963;2;14.81481481;26;1.13960114;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
55;Valencia;Baetica;North Africa;2.5;13.5;18.51851852;2;9.259259259;26;0.712250712;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
56;Valencia;Baetica;Iberian Peninsula;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
57;Valencia;Baetica;Aegean;0;13.5;0;2;0;26;0;0;0;0;1;0;29;0;0;0;0;1;0;29;0;0;0;0;1;0;22;0;
